"","City","lon","lat"
"473","Estero, FL",-81.8067523,26.438136
"474","Cincinnati, OH",-84.5120196,39.1031182
"475","Boston, MA",-71.0588801,42.3600825
"476","Herndon, VA",-77.3860976,38.9695545
"477","Oakland, CA",-122.2711137,37.8043637
"478","Stanford, CA",-122.1660756,37.424106
"479","Milwaukee, WI",-87.9064736,43.0389025
"480","Fort Worth, TX",-97.3307658,32.7554883
"481","Brooklyn, NY",-73.9441579,40.6781784
"482","Jacksonville, FL",-81.655651,30.3321838
"483","Kerry, ND",-97.8042579,48.4563826
"484","New York, NY",-74.0059728,40.7127753
"485","Herndon, VA",-77.3860976,38.9695545
"486","Columbia, MD",-76.8610462,39.2037144
"487","McLean, VA",-77.1772604,38.9338676
"488","Huntsville, AL",-86.5861037,34.7303688
"489","Baltimore, MD",-76.6121893,39.2903848
"490","Lincoln, NE",-96.6851982,40.8257625
"491","Madison, WI",-89.4012302,43.0730517
"492","Minnetonka, MN",-93.4687489,44.9211836
"493","Phoenix, AZ",-112.0740373,33.4483771
"494","New York, NY",-74.0059728,40.7127753
"495","McLean, VA",-77.1772604,38.9338676
"496","Richardson, TX",-96.7298519,32.9483335
"497","Grand Prairie, TX",-96.9977846,32.7459645
"498","New York, NY",-74.0059728,40.7127753
"499","Bloomington, IL",-88.9936873,40.4842027
"500","New York, NY",-74.0059728,40.7127753
"501","Bellevue, WA",-122.2015159,47.6101497
"502","Los Angeles, CA",-118.2436849,34.0522342
"503","Chicago, IL",-87.6297982,41.8781136
"504","Stanford, CA",-122.1660756,37.424106
"505","Arlington, VA",-77.0909809,38.8816208
"506","New York, NY",-74.0059728,40.7127753
"507","Fort Belvoir, VA",-77.1542684,38.7188716
"508","Washington, DC",-77.0368707,38.9071923
"509","Arlington, VA",-77.0909809,38.8816208
"510","Palo Alto, CA",-122.1430195,37.4418834
"511","New York, NY",-74.0059728,40.7127753
"512","Boston, MA",-71.0588801,42.3600825
"513","Hartford, CT",-72.6850932,41.7637111
"514","Calabasas, CA",-118.6614809,34.1367208
"515","Boston, MA",-71.0588801,42.3600825
"516","Pasadena, CA",-118.1445155,34.1477849
"517","Springfield, VA",-77.1872036,38.7892801
"518","San Francisco, CA",-122.4194155,37.7749295
"519","Cleveland, OH",-81.6943605,41.49932
"520","Greenwich, CT",-73.6281964,41.0262417
"521","San Francisco, CA",-122.4194155,37.7749295
"522","Pittsburgh, PA",-79.9958864,40.4406248
"523","Saint Louis, MO",-90.1994042,38.6270025
"524","Seattle, WA",-122.3320708,47.6062095
"525","San Francisco, CA",-122.4194155,37.7749295
"526","Eugene, OR",-123.0867536,44.0520691
"527","San Francisco, CA",-122.4194155,37.7749295
"528","Ontario, CA",-117.6508876,34.0633443
"529","San Francisco, CA",-122.4194155,37.7749295
"530","Chesterbrook, PA",-75.4590816,40.0756627
"531","Atlanta, GA",-84.3879824,33.7489954
"532","Seattle, WA",-122.3320708,47.6062095
"533","San Francisco, CA",-122.4194155,37.7749295
"534","Milpitas, CA",-121.8995741,37.4323341
"535","Atlanta, GA",-84.3879824,33.7489954
"536","Chicago, IL",-87.6297982,41.8781136
"537","San Francisco, CA",-122.4194155,37.7749295
"538","South San Francisco, CA",-122.4077498,37.654656
"539","New York, NY",-74.0059728,40.7127753
"540","Lowell, AR",-94.1307587,36.2553543
"541","Manchester, NH",-71.4547891,42.9956397
"542","Redwood City, CA",-122.2363548,37.4852152
"543","Falls Church, VA",-77.1710914,38.882334
"544","Seattle, WA",-122.3320708,47.6062095
"545","Massachusetts",-71.3824374,42.4072107
"546","Roma, TX",-99.0156554,26.4088523
"547","New York, NY",-74.0059728,40.7127753
"548","Baltimore, MD",-76.6121893,39.2903848
"549","Waltham, MA",-71.2356113,42.3764852
"550","Suitland, MD",-76.9240422,38.8485264
"551","Washington, DC",-77.0368707,38.9071923
"552","Jackson, MS",-90.1848103,32.2987573
"553","New York, NY",-74.0059728,40.7127753
"554","New York, NY",-74.0059728,40.7127753
"555","Palo Alto, CA",-122.1430195,37.4418834
"556","Chicago, IL",-87.6297982,41.8781136
"557","San Diego, CA",-117.1610838,32.715738
"558","Hoboken, NJ",-74.0323626,40.7439905
"559","Research Triangle Park, NC",-78.8636402,35.8991678
"560","Baltimore, MD",-76.6121893,39.2903848
"561","Germantown, MD",-77.2716502,39.1731621
"562","New York, NY",-74.0059728,40.7127753
"563","Alexandria, VA",-77.0469214,38.8048355
"564","Huntsville, AL",-86.5861037,34.7303688
"565","Dallas, TX",-96.7969879,32.7766642
"566","Reston, VA",-77.3570028,38.9586307
"567","Seattle, WA",-122.3320708,47.6062095
"568","Jersey City, NJ",-74.0776417,40.7281575
"569","Atlanta, GA",-84.3879824,33.7489954
"570","Providence, RI",-71.4128343,41.8239891
"571","Greenwich, CT",-73.6281964,41.0262417
"572","Charlotte, NC",-80.8431267,35.2270869
"573","Boston, MA",-71.0588801,42.3600825
"574","Springfield, VA",-77.1872036,38.7892801
"575","San Francisco, CA",-122.4194155,37.7749295
