"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"681"," Genentech","South San Francisco, CA","Biotech ; Pharmaceuticals",4,"$118k-$195k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","195","118",156.5
"682"," Google","New York, NY","Information Technology",4.4,"$115k-$167k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","167","115",141
"683"," J.B. Hunt","Lowell, AR","Transportation ; Logistics",3.2,"$63k-$102k(Glassdoor est.)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AR","102","63",82.5
"684"," RiverStone Group","Manchester, NH","Insurance",3.2,"$85k-$127k(Glassdoor est.)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NH","127","85",106
"687"," Reputation.com","Redwood City, CA","Information Technology",4,"$122k-$170k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","170","122",146
"688"," ASRC Federal Holding Company","Falls Church, VA","Aerospace ; Defense",3.5,"$95k-$141k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","141","95",118
"691"," Logic20/20","Seattle, WA","Business Services",3.9,"$98k-$143k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"WA","143","98",120.5
"692"," Steward Health Care System","Massachusetts","Health Care",2.7,"$58k-$92k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ts","92","58",75
"693"," Bridgestone Industrial Products","Roma, TX","Manufacturing",4,"$62k-$100k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","100","62",81
"694"," Pfizer","New York, NY","Biotech ; Pharmaceuticals",3.8,"$99k-$154k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","154","99",126.5
"695",NA,"Baltimore, MD","Business Services",3.6,"$136k-$190k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD","190","136",163
"696"," ACI Worldwide","Waltham, MA","Information Technology",3.2,"$115k-$159k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","159","115",137
"698"," Delex Systems","Suitland, MD","Business Services",2.7,"$101k-$151k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD","151","101",126
